Summary:
  Temperature Count: 5907
  Humidity Count: 5907
Alerts:
  [high_temp_or_humidity]
Date: 2024-10-30, Temp: 31, Humidity: 81, Light: 160, Time: 14:21:32, Recorded By: Sensor4
Date: 2024-03-01, Temp: 33, Humidity: 79, Light: 137, Time: 19:06:02, Recorded By: Sensor1
Date: 2024-04-20, Temp: 40, Humidity: 70, Light: 153, Time: 09:16:53, Recorded By: Sensor3
Date: 2024-08-22, Temp: 37, Humidity: 91, Light: 56, Time: 06:17:30, Recorded By: Sensor1
Date: 2024-05-16, Temp: 37, Humidity: 77, Light: 197, Time: 15:13:18, Recorded By: Sensor3
Date: 2024-08-21, Temp: 32, Humidity: 71, Light: 126, Time: 20:23:55, Recorded By: Sensor1
Date: 2024-09-28, Temp: 38, Humidity: 74, Light: 275, Time: 20:52:46, Recorded By: Sensor4
Date: 2024-10-31, Temp: 32, Humidity: 84, Light: 171, Time: 02:03:04, Recorded By: Sensor2
Date: 2024-06-18, Temp: 37, Humidity: 95, Light: 245, Time: 01:51:58, Recorded By: Sensor4
Date: 2024-05-19, Temp: 30, Humidity: 81, Light: 181, Time: 01:54:12, Recorded By: Sensor3
Date: 2024-06-17, Temp: 37, Humidity: 98, Light: 68, Time: 01:22:19, Recorded By: Sensor1
Date: 2024-07-23, Temp: 32, Humidity: 86, Light: 245, Time: 08:33:07, Recorded By: Sensor2
Date: 2024-12-19, Temp: 40, Humidity: 82, Light: 122, Time: 01:12:14, Recorded By: Sensor4
Date: 2024-01-02, Temp: 32, Humidity: 99, Light: 181, Time: 02:25:44, Recorded By: Sensor3
Date: 2024-03-02, Temp: 35, Humidity: 71, Light: 266, Time: 12:18:49, Recorded By: Sensor4
Date: 2024-03-10, Temp: 35, Humidity: 82, Light: 277, Time: 15:19:22, Recorded By: Sensor1
Date: 2024-05-07, Temp: 35, Humidity: 79, Light: 268, Time: 21:32:06, Recorded By: Sensor1
Date: 2024-03-02, Temp: 40, Humidity: 78, Light: 268, Time: 18:11:16, Recorded By: Sensor2
Date: 2024-07-14, Temp: 34, Humidity: 83, Light: 189, Time: 01:14:38, Recorded By: Sensor2
Date: 2024-02-05, Temp: 38, Humidity: 99, Light: 129, Time: 12:38:55, Recorded By: Sensor2
Date: 2024-05-09, Temp: 38, Humidity: 99, Light: 135, Time: 16:16:42, Recorded By: Sensor3
Date: 2024-12-15, Temp: 38, Humidity: 98, Light: 178, Time: 14:40:06, Recorded By: Sensor3
Date: 2024-05-17, Temp: 31, Humidity: 98, Light: 208, Time: 15:04:45, Recorded By: Sensor3
Date: 2024-02-03, Temp: 39, Humidity: 90, Light: 240, Time: 23:02:08, Recorded By: Sensor4
Date: 2024-10-08, Temp: 39, Humidity: 93, Light: 226, Time: 15:17:26, Recorded By: Sensor1
Date: 2024-12-31, Temp: 30, Humidity: 87, Light: 160, Time: 11:15:15, Recorded By: Sensor4
Date: 2024-05-03, Temp: 37, Humidity: 89, Light: 185, Time: 13:30:16, Recorded By: Sensor4
Date: 2024-12-08, Temp: 31, Humidity: 86, Light: 157, Time: 08:40:56, Recorded By: Sensor3
Date: 2024-06-08, Temp: 34, Humidity: 82, Light: 67, Time: 08:52:49, Recorded By: Sensor3
Date: 2024-12-30, Temp: 33, Humidity: 75, Light: 181, Time: 03:05:33, Recorded By: Sensor4
Date: 2024-09-27, Temp: 37, Humidity: 83, Light: 145, Time: 10:22:31, Recorded By: Sensor4
Date: 2024-08-15, Temp: 33, Humidity: 79, Light: 26, Time: 12:01:57, Recorded By: Sensor4
Date: 2024-10-30, Temp: 40, Humidity: 80, Light: 79, Time: 09:21:57, Recorded By: Sensor3
Date: 2024-10-30, Temp: 31, Humidity: 87, Light: 266, Time: 03:36:55, Recorded By: Sensor4
Date: 2024-05-01, Temp: 34, Humidity: 70, Light: 243, Time: 12:34:07, Recorded By: Sensor4
Date: 2024-10-22, Temp: 38, Humidity: 77, Light: 33, Time: 02:42:37, Recorded By: Sensor4
Date: 2024-08-21, Temp: 33, Humidity: 92, Light: 279, Time: 22:58:07, Recorded By: Sensor4
Date: 2024-02-18, Temp: 38, Humidity: 71, Light: 225, Time: 12:06:29, Recorded By: Sensor2
Date: 2024-03-25, Temp: 34, Humidity: 80, Light: 295, Time: 12:41:23, Recorded By: Sensor2
Date: 2024-10-11, Temp: 40, Humidity: 99, Light: 38, Time: 07:08:02, Recorded By: Sensor2
Date: 2024-10-08, Temp: 39, Humidity: 77, Light: 286, Time: 21:12:29, Recorded By: Sensor2
Date: 2024-04-13, Temp: 37, Humidity: 83, Light: 261, Time: 14:39:20, Recorded By: Sensor3
Date: 2024-01-24, Temp: 40, Humidity: 82, Light: 241, Time: 08:02:20, Recorded By: Sensor2
Date: 2024-07-31, Temp: 35, Humidity: 84, Light: 56, Time: 20:07:52, Recorded By: Sensor2
Date: 2024-11-22, Temp: 34, Humidity: 81, Light: 209, Time: 17:19:05, Recorded By: Sensor4
Date: 2024-08-07, Temp: 35, Humidity: 78, Light: 249, Time: 22:10:10, Recorded By: Sensor1
Date: 2024-07-26, Temp: 30, Humidity: 71, Light: 161, Time: 01:52:34, Recorded By: Sensor2
Date: 2024-02-07, Temp: 40, Humidity: 81, Light: 69, Time: 21:23:59, Recorded By: Sensor3
Date: 2024-06-08, Temp: 38, Humidity: 79, Light: 141, Time: 16:57:35, Recorded By: Sensor4
Date: 2024-02-12, Temp: 37, Humidity: 72, Light: 58, Time: 22:33:46, Recorded By: Sensor3
Date: 2024-05-16, Temp: 35, Humidity: 80, Light: 126, Time: 02:23:36, Recorded By: Sensor3
Date: 2024-12-14, Temp: 39, Humidity: 94, Light: 121, Time: 06:59:29, Recorded By: Sensor4
Date: 2024-03-16, Temp: 40, Humidity: 79, Light: 234, Time: 18:19:37, Recorded By: Sensor3
Date: 2024-11-19, Temp: 33, Humidity: 77, Light: 172, Time: 04:30:48, Recorded By: Sensor3
Date: 2024-01-31, Temp: 39, Humidity: 99, Light: 100, Time: 07:47:54, Recorded By: Sensor1
Date: 2024-12-08, Temp: 30, Humidity: 94, Light: 47, Time: 07:07:40, Recorded By: Sensor2
Date: 2024-01-15, Temp: 35, Humidity: 98, Light: 145, Time: 04:44:28, Recorded By: Sensor3
Date: 2024-12-21, Temp: 30, Humidity: 82, Light: 55, Time: 21:57:21, Recorded By: Sensor1
Date: 2024-07-03, Temp: 30, Humidity: 78, Light: 139, Time: 19:08:08, Recorded By: Sensor1
Date: 2024-11-24, Temp: 35, Humidity: 77, Light: 261, Time: 02:47:10, Recorded By: Sensor2
Date: 2024-04-06, Temp: 34, Humidity: 75, Light: 237, Time: 16:42:22, Recorded By: Sensor3
Date: 2024-09-04, Temp: 40, Humidity: 84, Light: 279, Time: 12:32:52, Recorded By: Sensor3
Date: 2024-04-13, Temp: 37, Humidity: 80, Light: 138, Time: 09:56:42, Recorded By: Sensor3
Date: 2024-02-16, Temp: 38, Humidity: 100, Light: 294, Time: 12:50:04, Recorded By: Sensor4
Date: 2024-03-30, Temp: 33, Humidity: 70, Light: 244, Time: 05:10:17, Recorded By: Sensor2
Date: 2024-07-11, Temp: 40, Humidity: 91, Light: 56, Time: 20:24:07, Recorded By: Sensor2
Date: 2024-06-12, Temp: 38, Humidity: 81, Light: 145, Time: 12:52:48, Recorded By: Sensor3
Date: 2024-01-10, Temp: 30, Humidity: 99, Light: 184, Time: 19:15:27, Recorded By: Sensor3
Date: 2024-03-24, Temp: 38, Humidity: 98, Light: 154, Time: 18:32:26, Recorded By: Sensor4
Date: 2024-10-12, Temp: 33, Humidity: 94, Light: 81, Time: 01:25:56, Recorded By: Sensor2
Date: 2024-11-30, Temp: 33, Humidity: 82, Light: 249, Time: 05:59:35, Recorded By: Sensor1
Date: 2024-11-05, Temp: 35, Humidity: 72, Light: 165, Time: 19:09:47, Recorded By: Sensor1
Date: 2024-02-06, Temp: 39, Humidity: 89, Light: 284, Time: 20:18:23, Recorded By: Sensor2
Date: 2024-10-25, Temp: 37, Humidity: 91, Light: 180, Time: 14:33:51, Recorded By: Sensor1
Date: 2024-07-31, Temp: 35, Humidity: 71, Light: 157, Time: 16:01:31, Recorded By: Sensor4
Date: 2024-12-17, Temp: 35, Humidity: 89, Light: 195, Time: 06:17:45, Recorded By: Sensor2
Date: 2024-05-31, Temp: 39, Humidity: 88, Light: 104, Time: 08:19:56, Recorded By: Sensor4
Date: 2024-04-25, Temp: 36, Humidity: 87, Light: 290, Time: 02:08:48, Recorded By: Sensor3
Date: 2024-05-20, Temp: 34, Humidity: 78, Light: 234, Time: 05:04:32, Recorded By: Sensor4
Date: 2024-05-16, Temp: 40, Humidity: 98, Light: 282, Time: 15:01:22, Recorded By: Sensor4
Date: 2024-03-25, Temp: 38, Humidity: 73, Light: 173, Time: 09:47:10, Recorded By: Sensor1
Date: 2024-11-08, Temp: 39, Humidity: 88, Light: 106, Time: 11:16:32, Recorded By: Sensor3
Date: 2024-10-05, Temp: 38, Humidity: 87, Light: 255, Time: 16:12:12, Recorded By: Sensor4
Date: 2024-04-02, Temp: 34, Humidity: 96, Light: 100, Time: 04:33:01, Recorded By: Sensor1
Date: 2024-08-01, Temp: 39, Humidity: 95, Light: 287, Time: 02:50:05, Recorded By: Sensor3
Date: 2024-06-13, Temp: 37, Humidity: 71, Light: 293, Time: 09:23:53, Recorded By: Sensor3
Date: 2024-11-20, Temp: 35, Humidity: 78, Light: 239, Time: 19:58:42, Recorded By: Sensor1
Date: 2024-09-05, Temp: 40, Humidity: 94, Light: 140, Time: 02:10:37, Recorded By: Sensor2
Date: 2024-05-23, Temp: 35, Humidity: 85, Light: 133, Time: 06:03:04, Recorded By: Sensor2
Date: 2024-12-06, Temp: 37, Humidity: 81, Light: 118, Time: 11:07:47, Recorded By: Sensor2
Date: 2024-01-15, Temp: 39, Humidity: 70, Light: 46, Time: 20:21:17, Recorded By: Sensor2
Date: 2024-05-15, Temp: 36, Humidity: 76, Light: 150, Time: 08:43:13, Recorded By: Sensor2
Date: 2024-02-05, Temp: 30, Humidity: 75, Light: 258, Time: 12:04:27, Recorded By: Sensor3
Date: 2024-08-16, Temp: 39, Humidity: 93, Light: 27, Time: 14:02:51, Recorded By: Sensor3
Date: 2024-12-01, Temp: 40, Humidity: 75, Light: 76, Time: 17:38:23, Recorded By: Sensor4
Date: 2024-09-23, Temp: 31, Humidity: 95, Light: 160, Time: 19:35:21, Recorded By: Sensor1
Date: 2024-08-05, Temp: 38, Humidity: 90, Light: 111, Time: 14:47:42, Recorded By: Sensor3
Date: 2024-01-24, Temp: 38, Humidity: 98, Light: 162, Time: 21:02:32, Recorded By: Sensor1
Date: 2024-12-24, Temp: 37, Humidity: 81, Light: 239, Time: 06:30:47, Recorded By: Sensor4
Date: 2024-04-19, Temp: 31, Humidity: 94, Light: 34, Time: 07:07:14, Recorded By: Sensor3
Date: 2024-01-23, Temp: 31, Humidity: 73, Light: 181, Time: 09:55:36, Recorded By: Sensor2
Date: 2024-10-09, Temp: 37, Humidity: 100, Light: 237, Time: 13:42:06, Recorded By: Sensor3
Date: 2024-09-24, Temp: 38, Humidity: 93, Light: 96, Time: 11:22:16, Recorded By: Sensor3
Date: 2024-10-19, Temp: 37, Humidity: 87, Light: 131, Time: 11:57:48, Recorded By: Sensor4
Date: 2024-09-17, Temp: 40, Humidity: 72, Light: 125, Time: 17:42:58, Recorded By: Sensor2
Date: 2024-03-01, Temp: 40, Humidity: 78, Light: 174, Time: 06:59:48, Recorded By: Sensor3
Date: 2024-06-30, Temp: 36, Humidity: 97, Light: 217, Time: 23:57:53, Recorded By: Sensor3
Date: 2024-01-24, Temp: 31, Humidity: 70, Light: 205, Time: 12:16:22, Recorded By: Sensor4
Date: 2024-06-02, Temp: 35, Humidity: 98, Light: 90, Time: 09:50:13, Recorded By: Sensor1
Date: 2024-02-28, Temp: 33, Humidity: 95, Light: 133, Time: 17:19:49, Recorded By: Sensor3
Date: 2024-10-13, Temp: 35, Humidity: 86, Light: 43, Time: 13:52:11, Recorded By: Sensor2
Date: 2024-03-23, Temp: 30, Humidity: 78, Light: 42, Time: 15:27:30, Recorded By: Sensor4
Date: 2024-01-02, Temp: 36, Humidity: 77, Light: 273, Time: 09:36:29, Recorded By: Sensor2
Date: 2024-11-15, Temp: 35, Humidity: 96, Light: 250, Time: 03:12:58, Recorded By: Sensor2
Date: 2024-01-29, Temp: 38, Humidity: 73, Light: 287, Time: 15:17:40, Recorded By: Sensor1
Date: 2024-03-22, Temp: 38, Humidity: 89, Light: 123, Time: 10:56:47, Recorded By: Sensor3
Date: 2024-09-05, Temp: 38, Humidity: 99, Light: 182, Time: 14:10:34, Recorded By: Sensor3
Date: 2024-01-16, Temp: 39, Humidity: 97, Light: 192, Time: 04:54:13, Recorded By: Sensor4
